,pause,play,completed,id,user_id
42,,"{'timestamps': ['2024-12-06T22:19:17.993817'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 19, 17, 993000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-12-06T22:23:06.573464'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 23, 6, 572999, tzinfo=datetime.timezone.utc), 'count': 1}",3MZQIKcyyVNhujcS7y7q,5yO1wzpCCtOYITzHmVL2a66pkRA3
43,"{'timestamps': ['2024-12-06T22:26:25.212592'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 26, 25, 211999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-12-06T22:25:56.070047'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 25, 56, 69999, tzinfo=datetime.timezone.utc), 'count': 1}",,A8gRHmsd1IkNkgvoZKWw,5yO1wzpCCtOYITzHmVL2a66pkRA3
44,"{'timestamps': ['2024-12-06T22:30:04.206380'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 30, 4, 206000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-12-06T22:29:22.107113'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 29, 22, 107000, tzinfo=datetime.timezone.utc), 'count': 1}",,OPn9tA2JGpUFohkTzJcp,5yO1wzpCCtOYITzHmVL2a66pkRA3
45,"{'timestamps': ['2024-12-06T22:28:58.294240'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 28, 58, 293999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-12-06T22:28:02.218033'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 28, 2, 217999, tzinfo=datetime.timezone.utc), 'count': 1}",,WPjyVdn3fNdsvHwmMRdH,5yO1wzpCCtOYITzHmVL2a66pkRA3
46,,"{'timestamps': ['2024-12-06T22:07:06.879'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 7, 6, 879000, tzinfo=datetime.timezone.utc), 'count': 1}",,WekSfHQPiwXqdFyntuoi,5yO1wzpCCtOYITzHmVL2a66pkRA3
47,"{'timestamps': ['2024-12-06T22:25:27.809633'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 25, 27, 809000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-12-06T22:24:07.558894'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 24, 7, 558000, tzinfo=datetime.timezone.utc), 'count': 1}",,h3K5PJd3E5hsabNg1DqZ,5yO1wzpCCtOYITzHmVL2a66pkRA3
48,"{'timestamps': ['2024-12-06T22:27:28.747369'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 27, 28, 746999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-12-06T22:26:51.902772'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 7, 4, 26, 51, 901999, tzinfo=datetime.timezone.utc), 'count': 1}",,n5FnVV2tFOGjfLGTFv6Q,5yO1wzpCCtOYITzHmVL2a66pkRA3
49,,"{'timestamps': ['2024-11-03T22:42:17.170020'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 3, 21, 42, 17, 170000, tzinfo=datetime.timezone.utc), 'count': 1}",,TvNOKj2uc2zXOpQg08TV,69BQWZqzXzV6Y8wIPGj9Y6EnMqF2
50,"{'timestamps': ['2024-11-06T11:37:09.116609'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 6, 10, 37, 9, 115999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-11-06T11:35:46.976057'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 6, 10, 35, 46, 976000, tzinfo=datetime.timezone.utc), 'count': 1}",,lONg3zCOLf40rxmMbu09,69BQWZqzXzV6Y8wIPGj9Y6EnMqF2
51,,"{'timestamps': ['2024-11-14T13:58:16.596'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 14, 12, 58, 16, 596000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-11-14T14:09:41.853'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 14, 13, 9, 41, 853000, tzinfo=datetime.timezone.utc), 'count': 1}",z4Q8s8jScFDTlGDrEI66,69BQWZqzXzV6Y8wIPGj9Y6EnMqF2
